UF,UF,MUNICÍPIO,CNPJ,FARMÁCIA,ENDEREÇO,BAIRRO,Data do Credenciamento
MG,3154606,RIBEIRAO DAS NEVES,14.647.646/0001-70,DROGARIA DIAS LTDA, RUA DEPUTADO DENIO MOREIRA DE CARVALHO 164 LOJA A  ,VEREDA,14/12/2012
MG,3154606,RIBEIRAO DAS NEVES,14.652.773/0001-67,LACERDA FARMA LTDA," AVENIDA DENISE CRISTINA ROCHA, 409  ",VILA SANTA BRANCA (JUSTINOPOLI,16/09/2013
MG,3154606,RIBEIRAO DAS NEVES,15.444.302/0001-26,DROGARIA WFF LTDA, TANCREDO DE ALMEIDA NEVES  ,ESPERANCA (JUSTINOPOLIS),24/10/2014
MG,3154606,RIBEIRAO DAS NEVES,16.967.361/0001-41,DROGA VIENA DRUGSTORE LTDA, JOAO LUIS PINTO  ,VIENA (JUSTINOPOLIS),31/12/2013
MG,3154606,RIBEIRAO DAS NEVES,17.256.512/0089-58,DROGARIA ARAUJO S A," RUA ARI TEIXEIRA DA COSTA, 72  ",CENTRO,02/10/2009
MG,3154606,RIBEIRAO DAS NEVES,17.387.705/0001-06,DROGARIA AECIO LIMITADA, JOSUE MARTINS DE SOUZA 704 ,LAGOA,24/03/2009
MG,3154606,RIBEIRAO DAS NEVES,17.460.105/0001-26,DROGARIA BOA PRIMAVERA LTDA, JOAO BATISTA DA SILVA 340 ,JK,15/05/2015
MG,3154606,RIBEIRAO DAS NEVES,17.880.823/0001-51,DROGARIA MAXI IBIRITE LTDA," RUA DEODORO DE OLIVEIRA, 160 LOJA  160 LOJA",FLORENCA,09/07/2014
MG,3154606,RIBEIRAO DAS NEVES,19.308.272/0001-81,DROGARIA PW LTDA," AV OSWALDO ALVES ARAUJO, 655 - LOJA: 1;  ",VENEZA,08/10/2014
MG,3154606,RIBEIRAO DAS NEVES,19.895.998/0001-68,MEL & MIL DROGARIA LTDA, MONTE NEGRO  ,SAO JOAO DE DEUS (JUSTINOPOLIS),21/11/2014
MG,3154606,RIBEIRAO DAS NEVES,20.659.406/0001-98,DROGARIA E PERFUMARIA SILVA LTDA," RUA ARI TEIXEIRA DA COSTA, 1500 - LOJA: 1524  ",SAVASSI,28/04/2015
MG,3154606,RIBEIRAO DAS NEVES,21.847.470/0001-65,DROGARIA MARIA HELENA LTDA," RUA GENEROSO CLEMENTE DA ROCHA, 73  ",MARIA HELENA/TONY/JUSTINOPOLIS,26/03/2013
MG,3154606,RIBEIRAO DAS NEVES,23.907.231/0001-89,DROGAVIVER LTDA, JOSUE MARTINS DE SOUZA 756 LOJA  02,LAGOA,11/12/2013
MG,3154606,RIBEIRAO DAS NEVES,38.694.030/0001-18,NOVA DROGARIA ATALAIA LTDA, JOSUE MARTINS DE SOUZA 580 LOJA: 01 E 02;,LAGOA,31/12/2013
MG,3154606,RIBEIRAO DAS NEVES,38.753.968/0001-61,DROGARIA VENEZA RBN LTDA," MARIA ADELAIDE, Nº 688  ",VENEZA,25/01/2010
MG,3154606,RIBEIRAO DAS NEVES,64.375.082/0001-31,DROGARIA E PERFUMARIA MARCUS LTDA, AVENIDA COSTA E SILVA 32 LOJA  ,MENEZES,12/09/2014
MG,3154606,RIBEIRAO DAS NEVES,64.464.910/0001-08,DROGARIA CARMO MACHADO LTDA," RUA HELENA SAPORI FALUBA, 319 - A  ",VENEZA,14/12/2012
MG,3154606,RIBEIRAO DAS NEVES,68.512.169/0001-64,DROGARIA E PERFUMARIA SAPORI LTDA, NOSSA SENHORA DAS NEVES  ,CENTRO,29/01/2007
MG,3154705,RIBEIRAO VERMELHO,05.035.775/0001-16,DROGARIA L. C. B. T. LTDA, AVENIDA VINTE E SEIS DE NOVEMBRO 150  ,CENTRO,23/10/2013
MG,3154705,RIBEIRAO VERMELHO,07.646.013/0001-81,DROGARIA DE MEDICAMENTOS DE CLAUDIO LTDA, 26 DE NOVEMBRO 78 ,CENTRO,25/01/2011
MG,3154705,RIBEIRAO VERMELHO,25.661.208/0001-82,DROGARIA A.R.T. LTDA," RUA NOSSA SENHORA APARECIDA, Nº 167  ",NOSSA SENHORA APARECIDA,17/04/2009
MG,3154804,RIO ACIMA,07.310.884/0001-20,DROGARIA NOSSA SENHORA DO CARMO DE RIO ACIMA LTDA," RUA JOAO CLEMENTE FILHO, 22 - LOJA  ",MATADOURO,26/02/2016
MG,3154903,RIO CASCA,02.637.554/0001-20,DROGARIA PRATA & RIBEIRO LTDA," AVENIDA SENADOR CUPERTINO, Nº 32 - LOJA 03  ",CENTRO,06/11/2007
MG,3154903,RIO CASCA,05.331.903/0001-79,BREGUEZ & NOGUEIRA LTDA," RUA IMACULADA CONCEIÇÃO, Nº 35 - A  ",CENTRO ,26/11/2008
MG,3154903,RIO CASCA,09.650.406/0001-94,DROGARIA JS & CIA LTDA, DIAMANTE  ,AMOREIRAS II,06/01/2009
MG,3154903,RIO CASCA,16.839.707/0001-26,LIMA & CAMPOS MEDICAMENTOS LTDA, rua JOSE PIUZANA 471  ,N SRA DAS GRACAS,17/12/2013
MG,3154903,RIO CASCA,24.163.941/0001-04,FARMACIA PINTO COELHO LTDA," PADRE CANDIDO, 02  ",CENTRO,06/07/2009
MG,3154903,RIO CASCA,71.066.575/0001-55,PERICLES LUIZ MELO NOGUEIRA & CIA LTDA," JOSE PIUZANA, Nº 493 D  ",BAIRRO DAS GRACAS,21/09/2009
MG,3154903,RIO CASCA,71.416.127/0001-34,FARMACIA CEZAR LTDA," RUA DR. JOÃO PINHEIRO, Nº 90  ",CENTRO,02/05/2008
MG,3155108,RIO DO PRADO,41.767.120/0001-04,DROGARIA NOVA ERA RIO DO PRADO LTDA," RUA MARIO PINOTE, 50  ",CENTRO,12/09/2014
MG,3155009,RIO DOCE,19.688.454/0001-25,GILLINEY LUCARELI DA SILVEIRA, R CEL JOAO JOSE 51  ,CENTRO,09/12/2014
MG,3155207,RIO ESPERA,07.512.481/0001-63,ISAURA MIRANDA DE OLIVEIRA SOUZA," PC DA PIEDADE , 77   ",CENTRO,14/12/2012
MG,3155306,RIO MANSO,04.800.784/0001-93,DROCAP DROGARIA E PERFUMARIA LTDA," RUA PADRE CESARIO, 110 - A  ",CENTRO,24/04/2015
MG,3155306,RIO MANSO,06.194.874/0001-03,DROGARIA RIO MANSO LTDA, PRAÇA FORTUNATO CAMPOS 176  ,CENTRO,22/11/2013
MG,3155306,RIO MANSO,18.651.282/0001-52,DROGARIA FARMAIS SAUDE LTDA, PC FORTUNATO CAMPOS 158  ,CENTRO,26/08/2014
MG,3155405,RIO NOVO,03.971.626/0001-33,BOSCATO & CABRAL COMERCIO DE MEDICAMENTOS E PERFUMARIA LTDA," RUA VISCONDE DO RIO BRANCO, 376  ",CENTRO,31/10/2012
MG,3155405,RIO NOVO,08.347.538/0001-89,GOOD FARMA PEIXOTO ALMEIDA LTDA, Praça MARECHAL FLORIANO 42  ,CENTRO,25/10/2013
MG,3155405,RIO NOVO,24.184.681/0001-53,MAZZONI COSTA & CIA LTDA," AVENIDA GOVERNADOR VALADARES, 183  ",CENTRO,11/12/2014
MG,3155504,RIO PARANAIBA,04.681.394/0001-41,RIO PHARMA LTDA, RUA DONA MARIA TERTA 84  ,CENTRO,29/08/2014
MG,3155504,RIO PARANAIBA,05.491.729/0001-21,DROGARIA MONTE SINAI LTDA," AVENIDA HERMENEGILDO JOSE DE OLIVEIRA, 889  ",GUARDA DOS FERREIROS,05/11/2009
MG,3155504,RIO PARANAIBA,08.310.695/0001-10,CANDIAN & BARBOSA LTDA," RUA CAP. FRANKLIN DE CASTRO, 997  ",CENTRO,11/04/2014
MG,3155504,RIO PARANAIBA,15.419.552/0001-06,DROGARIA MENDES LTDA, Rua  VEREADOR JOAO MARIANO 258   ,NOVO RIO,26/12/2012
MG,3155504,RIO PARANAIBA,17.157.080/0001-96,MODERNA DROGARIA E PERFUMARIA LTDA," RUA CAPITAO FRANKLIN DE CASTRO, 978  ",CENTRO,09/07/2014
MG,3155504,RIO PARANAIBA,20.676.864/0001-35,JCP DROGARIA LTDA," RUA BOAVENTURA, 130   ",CENTRO,24/04/2015
MG,3155504,RIO PARANAIBA,21.617.485/0001-37,DROGARIA E PERFUMARIA CARDOSO LTDA," PRAÇA HILARINDO ALVES DA ROCHA, 114  ",CENTRO,31/10/2012
MG,3155504,RIO PARANAIBA,22.712.277/0001-80,DROGARIA PARANAIBA LTDA, CAP FRANKLIN DE CASTRO 630  ,CENTRO,30/03/2009
MG,3155504,RIO PARANAIBA,68.510.825/0001-90,DROGARIA CENTRO RIO LTDA," RUA CAP FRANKLIN DE CASTRO, 758  ",CENTRO,31/08/2010
MG,3155603,RIO PARDO DE MINAS,02.349.790/0001-40,CLEUZA DOMINGUES ALVES & CIA LTDA," DOMINGOS PORTUGUES, 324  ",CIDADE ALTA,12/01/2010
MG,3155603,RIO PARDO DE MINAS,02.478.011/0002-98,DROGARIA LUCIVAINE LTDA, DR MIGUEL ROSA 40  ,CENTRO,03/03/2009
MG,3155603,RIO PARDO DE MINAS,13.884.387/0001-38,VIANA PRODUTOS FARMACEUTICOS LTDA," R DOMINGOS PORTUGUES, 370  ",CIDADE ALTA,22/11/2013
MG,3155603,RIO PARDO DE MINAS,18.374.087/0001-22,DROGARIA CASTRO LCS LTDA," AVENIDA DOMINGOS PORTUGUES, 448 448 ",CIDADE ALTA,19/11/2014
MG,3155702,RIO PIRACICABA,05.905.606/0001-90,DROGARIA LIZ MARIA LTDA," RUA DUQUE DE CAXIAS, 7 - LOJA C  ",CENTRO,31/10/2012
MG,3155702,RIO PIRACICABA,18.562.203/0001-37,M & G DROGARIAS LTDA," PC DOMINGOS LANA, 189 - CXPST: 3;  ",PRAIA,01/09/2014
MG,3155702,RIO PIRACICABA,18.650.236/0001-39,FARMACIA PIRACICABA LTDA," AVENIDA DOM JOAQUIM SILVERIO, 126   ",PRAIA,11/05/2015
MG,3155702,RIO PIRACICABA,24.232.811/0001-86,DROGARIA PADRE PINTO LTDA, RUA  DUQUE DE CAXIAS Nº 128 B  ,CENTRO,01/06/2007
MG,3155801,RIO POMBA,01.934.602/0001-89,DROGAFARTO ANDRADE LTDA," CEL.FRANCISCO VIEIRA, 272  ",ROSARIO,12/01/2010
MG,3155801,RIO POMBA,08.603.875/0001-90,DROGARIA ANDRADE & MOREIRA LTDA," DR ULTIMO DE CARVALHO, 50  ",CENTRO,12/01/2010
MG,3155801,RIO POMBA,11.418.584/0001-36,DROGARIA MELINA LTDA.," RUA DR. DUTRA, 36 - LOJA 01  ",CENTRO,21/12/2012
MG,3155801,RIO POMBA,13.592.228/0001-60,DROGARIA RIOPOMBENSE LTDA, PROFESSOR JOSE BORGES DE MORAIS  ,ROSARIO,14/12/2012
MG,3155801,RIO POMBA,24.256.364/0001-03,FURTADO E VIDIGAL LTDA, DR ULTIMO DE CARVALHO  ,CENTRO,30/12/2013
MG,3155801,RIO POMBA,71.357.917/0001-96,DROGARIA RIO POMBA LTDA, DR JOSE NEVES  ,CENTRO,05/11/2009
MG,3156007,RIO VERMELHO,04.207.058/0001-61,DROGARIA E PERFUMARIA BIOFARMA LTDA, AURELIO MAGALHAES  ,CENTRO,05/11/2009
MG,3156007,RIO VERMELHO,23.249.584/0001-39,DROGARIA N SRA DE LOURDES RIO VERMELHO LTDA," AVENIDA AURELIO RODRIGUES MAGALHAES, 20 - SALA B  ",CENTRO,03/03/2015
MG,3156106,RITAPOLIS,06.212.469/0001-70,VILLANI MEDICAMENTOS LTDA," AV. DOS INCONFIDENTES, 43  ",CENTRO,26/01/2011
MG,3156106,RITAPOLIS,09.159.940/0001-00,DROGARIA RIBEIRO & CRUZ LTDA," RUA SANTA RITA, 36  ",CENTRO,31/08/2010
MG,3156304,RODEIRO,12.755.414/0001-00,VILA TEREZA DROGARIA LTDA," RUA JOAO BICALHO, 14 - A  ",CENTRO,25/09/2014
MG,3156304,RODEIRO,17.734.709/0001-13,DROGARIA R.D. DE RODEIRO LTDA," AVENIDA PREFEITO ADOLFO NICOLATO, N° 21 - LOJA  ",CENTRO,25/10/2013
MG,3156403,ROMARIA,04.855.834/0001-30,DROGARIA CARDOSO & ARAUJO LTDA," AVENIDA PADRE EUSTAQUIO, 25, A  ",CENTRO,30/12/2009
MG,3156452,ROSARIO DA LIMEIRA,07.507.267/0001-19,J. S. OLIVEIRA & CIA. LTDA.," PRAÇA NOSSA SENHORA DE FATIMA, 183  ",CENTRO,04/07/2011
MG,3156452,ROSARIO DA LIMEIRA,11.639.545/0001-69,DROGA VIDA DROGARIA LTDA, FARMACEUTICO LICINIO DE SOUZA CASTRO 400 ,CENTRO,31/10/2012
MG,3156502,RUBELITA,28.731.159/0001-03,RUBIMED COMERCIO DE MEDICAMENTOS LTDA," RUA HONORIO DA BANDEIRA, 47  ",CENTRO,29/09/2023
MG,3156601,RUBIM,25.102.146/0061-00,IRMAOS MATTAR & CIA LTDA," PRAÇA UBIRAJARA COELHO, 100  ",CENTRO,31/12/2013
MG,3156601,RUBIM,86.400.413/0001-89,DROGARIA RUBIM LTDA," PCA UBIRAJARA COELHO, 42  ",CENTRO,04/07/2011
MG,3156700,SABARA,07.072.431/0001-02,DROGARIA DA VOVO SABARA LTDA," RUA LUÍS CASSIANO, Nº 54  ",CENTRO,29/08/2007
MG,3156700,SABARA,07.072.431/0002-93,DROGARIA DA VOVO SABARA LTDA," RUA CARVALHO DE BRITO, Nº 230  ",VILA EUGENIO ROSSI ,13/01/2009
MG,3156700,SABARA,07.072.431/0003-74,DROGARIA DA VOVO SABARA LTDA," RUA MARQUES DE SAPUCAI, Nº 767  ",CENTRO ,13/01/2009
MG,3156700,SABARA,07.072.431/0004-55,DROGARIA DA VOVO SABARA LTDA, TIRADENTES  ,ITACOLOMI,02/02/2011
MG,3156700,SABARA,07.810.432/0001-07,DROGARIA RANGEL LTDA, PRINCIPAL 1041 ,SANTA RITA DE CASSIA,30/01/2009
MG,3156700,SABARA,09.522.571/0001-60,MANAR DROGARIA E PERFUMARIA LTDA, CORONEL CARLOS ORLEANS GUIMARAES 422 SUPERMERCADO,JOA,30/12/2009
MG,3156700,SABARA,09.813.824/0001-55,FARMACIA AVANTE LTDA," RUA COMENDADOR VIANA, Nº 372  ",CENTRO ,10/12/2008
MG,3156700,SABARA,13.222.895/0001-50,DROGARIA DRUGSTORE CONTAGEM LTDA," AVENIDA CONTAGEM, 1370  ",VILA NOVA VISTA,31/08/2011
MG,3156700,SABARA,13.824.813/0002-29,FARMACIA OLVEIRA DA MOTA LTDA., VEREADOR CICERO FERREIRA PINTO  ,RAVENA,31/12/2013
MG,3156700,SABARA,15.408.094/0001-00,DROGARIA E PERFUMARIA PLAZA LTDA, RUA MINAS NOVAS LOJA 260  ,NOSSA SENHORA DE FATIMA,12/09/2013
MG,3156700,SABARA,17.256.512/0078-03,DROGARIA ARAUJO S A," AVENIDA JOSE CANDIDO DA SILVEIRA 3252, LOJA 01  ",ANA LUCIA ,18/04/2008
MG,3156700,SABARA,17.256.512/0104-21,DROGARIA ARAUJO S A, AVENIDA CONTAGEM 1322   ,VILA NOVA VISTA,27/12/2012
MG,3156700,SABARA,19.930.809/0001-40,DROGARIA E PERFUMARIA SAUDE LTDA," RUA LUIS CASSIANO, 80  ",CENTRO,12/11/2007
MG,3156700,SABARA,25.950.908/0001-97,DROGAVELO LTDA, RUA TIRADENTES 397 LOJA 01 400 LETRA A,ITACOLOMI,30/10/2006
MG,3156700,SABARA,25.950.908/0003-59,DROGAVELO LTDA, PC DOUTOR LOUIS ENSCH 173  ,CENTRO,31/12/2013
MG,3156809,SABINOPOLIS,04.668.560/0001-70,FRANCISCA MARIA FERNANDES LTDA, MOREL MARIA DE PINHO  ,CENTRO,20/05/2009
MG,3156809,SABINOPOLIS,10.226.122/0001-54,DROGARIA PIRES MIRANDA LTDA," RUA INACIO BARROSO, 384  ",CENTRO,25/11/2010
MG,3156809,SABINOPOLIS,10.582.739/0001-02,FARMACIA BARROSO LTDA," BALBINO CANDIDO ARAUJO, 91  ",CENTRO,12/03/2010
MG,3156908,SACRAMENTO,01.880.531/0001-89,DROGA VIDA MEDICAMENTOS LTDA," AVENIDA PROFESSOR RABELO, Nº 402, SALA: 01 E 02   ",CENTRO ,03/03/2009
MG,3156908,SACRAMENTO,06.345.034/0001-02,BIO FORMULA MANIPULACAO LTDA, AV VIGÁRIO PAIXÃO 125 A  ,CENTRO,29/02/2008
MG,3156908,SACRAMENTO,07.438.432/0001-28,RAFAEL PERTILE FELIPE," AVENIDA ANTONIO CARLOS, Nº 127 - SALA 01 127 CASA;",CENTRO,06/09/2011
MG,3156908,SACRAMENTO,08.886.484/0001-20,JANE ARAUJO FERREIRA MARTINS," RUA CONEGO JULIAO NUNES, 14  ",CENTRO,02/09/2010
MG,3156908,SACRAMENTO,11.350.161/0001-21,DROGARIA FIDELIZ & FREITAS LTDA," AV ANTONIO CARLOS,706  ",CENTRO,14/09/2010
MG,3156908,SACRAMENTO,16.991.737/0001-53,ANA PAULA DE CASTRO FERREIRA, RUA DR TOMAZ NOVELINO 84  ,JOAO XXIII,20/12/2013
MG,3156908,SACRAMENTO,17.347.996/0001-09,IGOR OLIVEIRA SANTOS & CIA LTDA, AV BENEDITO VALADARES 15  ,CENTRO,11/12/2013
MG,3156908,SACRAMENTO,17.813.431/0001-70,WANDER JOSE ESTEVAM DROGARIA, CORONEL TANCREDO FRANCA 32 ,CENTRO,17/12/2013
MG,3156908,SACRAMENTO,71.450.068/0001-10,INFINITY COMERCIO DE MEDICAMENTOS LTDA, AV. VIGÁRIO PAIXÃO N° 112  ,CENTRO,25/09/2006
MG,3157005,SALINAS,03.604.597/0001-71,R.R. DROGARIA IDEAL LTDA," R. BARAO DO RIO BRANCO, 106  ",CENTRO,04/07/2011
MG,3157005,SALINAS,04.227.777/0001-44,FARMACIA SANTO ANTONIO DE SALINAS LTDA, CLEMENTE MEDRADO  ,CENTRO,25/11/2010
MG,3157005,SALINAS,05.463.944/0001-19,REDE DROGARIAS YPE LTDA," PRAÇA ENEAS FELICIO BATISTA, 40 425 ",CENTRO,31/10/2012
MG,3157005,SALINAS,07.231.237/0001-22,JK DROGARIA LTDA," RAUL SOARES, 177  ",CENTRO,22/07/2009
MG,3157005,SALINAS,07.302.616/0001-66,LIDIANE DIAS DE OLIVEIRA," RUA SEBASTIAO MOREIRA DE OLIVEIRA, 33 A  ",CENTRO,15/12/2009
MG,3157005,SALINAS,09.554.200/0001-60,CANDIDO DE OLIVEIRA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA," RUA JOSE MARTINS DOS ANJOS, 777  ",BOA VISTA,06/10/2010
MG,3157005,SALINAS,10.220.996/0001-02,DIAS & ANJOS COMERCIO DE MEDICAMENTOS LTDA, RUA FREI ROGATO 60 LOJA 02 60 LOJA  02,CENTRO,20/12/2013
MG,3157005,SALINAS,10.502.392/0001-40,DROGARIA SANTANA & CARNEIRO LTDA," RUA BARAO DO RIO BRANCO, 71  ",CENTRO,02/09/2010
MG,3157005,SALINAS,10.571.738/0001-62,DROGARIA DAS ROSAS LTDA," RUA FREI ROGATO, 108  ",CENTRO,08/05/2014
MG,3157005,SALINAS,12.824.161/0001-89,DROGAFARMA VIEIRA AGUAS VERMELHAS LTDA, PACIFICO ANTUNES PEREIRA 63 ,CENTRO,04/07/2011
MG,3157005,SALINAS,16.927.287/0001-30,LCB DROGARIA LTDA, ENEIAS FELICIO BATISTA  ,CENTRO,29/01/2007
MG,3157005,SALINAS,18.923.730/0001-20,M.G.T.C. BRITO E CIA LTDA, RAUL SOARES  ,CENTRO,15/09/2009
MG,3157104,SALTO DA DIVISA,05.028.906/0001-38,MARCELO MIRANDA BARRETO LTDA," MINAS GERAIS, 39, LOJA  ",CENTRO,18/08/2009
MG,3157203,SANTA BARBARA,00.571.664/0001-00,DROGARIA MAGALHAES ARAUJO LTDA, RUA PADRE ROBERTO HOSKEN 147  ,SAO VICENTE,04/07/2011
MG,3157203,SANTA BARBARA,03.340.797/0001-64,DROGARIA FERREIRA COSTA LTDA," PRAÇA PIO XII, 05 - A  ",CENTRO,21/07/2014
MG,3157203,SANTA BARBARA,10.478.361/0001-00,FARMACIA FSB LTDA," RUA ANTONIO PEREIRA ROCHA, 337  ",CENTRO,20/09/2012
MG,3157203,SANTA BARBARA,11.858.304/0001-00,QUITES GONCALVES FARMACIA LTDA," RUA CASTELO BRANCO, 140 - LOJA 1 E 2  ",CENTRO,01/09/2014
MG,3157203,SANTA BARBARA,12.492.794/0001-37,PRADO & VIEIRA FARMACIA LTDA," RUA JOAO MOTA, 51  ",CENTRO,25/08/2011
MG,3157203,SANTA BARBARA,24.377.913/0001-90,HELY PESSOA DE ARAUJO," JOAO MOTA, 153  ",CENTRO,06/07/2008
MG,3157203,SANTA BARBARA,71.081.327/0001-83,VALERIA COTTA DE ARAUJO, ANTONIO PEREIRA ROCHA  ,CENTRO,20/05/2009
MG,3157252,SANTA BARBARA DO LESTE,03.017.972/0001-87,DROGARIA E PERFUMARIA MORAES LTDA," GUILHERMINO OLIVEIRA, 16  ",CENTRO,06/07/2009
MG,3157252,SANTA BARBARA DO LESTE,04.522.644/0001-09,DROGARIA CRISOSTOMO LTDA," DR. MANINHO, 105  ",CENTRO,12/01/2010
MG,3157252,SANTA BARBARA DO LESTE,06.100.201/0001-47,RAMON MORAIS VIEIRA & CIA LTDA," AV GERALDO MAGELA, 287  ",CENTRO,25/08/2010
MG,3157252,SANTA BARBARA DO LESTE,10.288.493/0001-60,RENAN PINHEIRO LAIGNIER," AV GERALDO MAGELA, 131  ",CENTRO,25/11/2010
MG,3157252,SANTA BARBARA DO LESTE,19.224.868/0001-01,SSF FARMACIA E DROGARIA LTDA," AVENIDA GERALDO MAGELA, N°131  ",CENTRO,01/09/2014
MG,3157278,SANTA BARBARA DO MONTE VERDE,13.557.701/0001-78,DROGARIA SAO LUCAS DE BARROSO LTDA," RUA MANUEL DUARTE DA SILVEIRA, 10, SALA 03 10 SALA  03",CENTRO,20/09/2012
MG,3157302,SANTA BARBARA DO TUGURIO,02.251.955/0001-47,CAMPOS E ARAUJO DROGARIA LTDA," RUA CAMILO SILVERIO MENDES, Nº 61 - A  ",CENTRO,31/10/2012
MG,3157302,SANTA BARBARA DO TUGURIO,08.312.452/0001-10,DROGARIA TUGURIO LTDA," RUA SAO VICENTE DE PAULA, 333  ",CENTRO,25/08/2010
MG,3157377,SANTA CRUZ DE SALINAS,23.942.035/0001-45,TIAGO ALVES SOUTO, TOTO COSTA  ,CENTRO,29/09/2023
MG,3157500,SANTA EFIGENIA DE MINAS,36.612.864/0001-01,DROGARIA DOUTOR EUSTAQUIO LTDA," PC SANTA EFIGENIA, N°12  ",CENTRO,30/01/2024
MG,3157500,SANTA EFIGENIA DE MINAS,45.219.218/0001-70,PERPETUO E DIAS MULTIFACIL LTDA," PRAÇA CIRILO MOREIRA, Nº 26  ",CENTRO,11/08/2023
MG,3157609,SANTA FE DE MINAS,11.545.481/0001-37,ADRIANO LEITE DE MATOS," RUA RIO DE JANEIRO, 310  ",CENTRO,26/03/2013
MG,3157658,SANTA HELENA DE MINAS,18.784.715/0001-48,DROGARIA SAO PEDRO DE SANTA HELENA LTDA," AVENIDA MINAS GERAIS, 477 - TERREO  ",CENTRO,15/05/2015
MG,3157708,SANTA JULIANA,00.371.608/0001-22,ROBERVAL RIBEIRO DIAS CPF: 566.278.666-68, RUA ANTONIO REZENDE 713  ,CENTRO,15/10/2014
MG,3157708,SANTA JULIANA,02.789.805/0001-91,NILTON JOSE DA CUNHA & CIA LTDA," PROFESSOR ORESTES, 729 729 ",CENTRO,26/08/2014
MG,3157708,SANTA JULIANA,05.240.830/0001-00,FARMANAVES LTDA," RUA SAO VICENTE DE PAULA, 400  ",CENTRO,09/10/2009
MG,3157708,SANTA JULIANA,10.623.645/0001-34,DROGARIA FARMANAVES LTDA, DR. HELVECIO TORRES CUNHA  ,CENTRO,05/09/2014
MG,3157708,SANTA JULIANA,65.122.939/0001-74,MARIA BEATRIZ FERREIRA DA CUNHA SILVEIRA," RUA ANTONIO REZENDE ,  64 TÉRRO  ",CENTRO,14/12/2012
MG,3157807,SANTA LUZIA,00.087.640/0001-80,DROGARIA PRINCIPAL LTDA, HERBSTER 293 LOJA  LOJA,CENTRO,26/11/2008
MG,3157807,SANTA LUZIA,00.978.034/0001-55,DROGARIA E PERFUMARIA LUCENA LTDA, EUROPA 433 LJ 02  ,BARONESA ,06/01/2009
MG,3157807,SANTA LUZIA,02.542.725/0001-37,DROGARIA E PERFUMARIA VILA OLGA LTDA, AV DAS INDUSTRIAS Nº 1097  ,NOSSA SENHORA DAS GRAÇAS,18/10/2006
MG,3157807,SANTA LUZIA,03.126.915/0001-36,MAXFARMA LTDA, JOSE   BELIZARIO   FILHO 177 ,CONJ  CRISTINA  B,06/01/2009
MG,3157807,SANTA LUZIA,03.458.345/0001-81,MATERMARIA FARMACIA LTDA," RUA DO SERRO, Nº 722  ",CENTRO,24/10/2007
MG,3157807,SANTA LUZIA,11.055.992/0001-70,KG FARMA DROGARIA E PERFUMARIA LTDA," AVENIDA AMELIA CALDAS VARGAS, 350 - LOJA B  ",CONJUNTO PALMITAL (SAO BENEDIT,09/10/2014
MG,3157807,SANTA LUZIA,11.253.522/0001-11,CARVALHO E CARVALHO COMERCIO E MEDICAMENTOS LTDA," RUA PROFESSOR BORGES DA COSTA, 301, LOJA C 301 LOJA  C",ASTECA (SAO BENEDITO),14/06/2010
MG,3157807,SANTA LUZIA,11.364.598/0001-14,CATELLA E ABRAHAO DROGARIA LTDA, WALDEMAR AUGUSTO DOS SANTOS  ,BELA VISTA,14/05/2010
MG,3157807,SANTA LUZIA,11.390.000/0001-61,DROGARIA E PERFUMARIA PERSIA E MERCIA LTDA," Rua ITALIA, 102  ",BARONESA (SAO BENEDITO),31/10/2012
MG,3157807,SANTA LUZIA,12.025.849/0001-07,DROGARIA DO COMERCIO LTDA," RUA DO COMERCIO, 164 - LOJA 4  ",SAO JOAO BATISTA,25/02/2015
MG,3157807,SANTA LUZIA,12.057.895/0001-80,NASCENTE FARMA LTDA," AVENIDA BRASILIA, 1949 - LOJA 103  ",SAO BENEDITO,24/08/2011
MG,3157807,SANTA LUZIA,12.104.037/0001-49,DROGARIA MORAES E SILVA LTDA," RUA GERALDO TEIXEIRA DA COSTA, 367, LOJA  ",BOM JESUS,28/10/2010
MG,3157807,SANTA LUZIA,12.371.000/0001-87,DROGARIA FARMA EIRELI," AV RAUL TEIXEIRA DA COSTA SOBRINHO, 15 - LOJA 01  ",CAMELOS,31/10/2012
MG,3157807,SANTA LUZIA,12.958.128/0001-41,DROGARAFA DROGARIA E PERFUMARIA LTDA, VENANCIO PEREIRA DOS SANTOS  ,CONJUNTO CRISTINA (SAO BENEDITO),11/12/2013
MG,3157807,SANTA LUZIA,13.824.813/0001-48,FARMACIA OLVEIRA DA MOTA LTDA., ANTONIO ANDRE SOBRINHO  ,CIDADE NOVA,31/10/2012
MG,3157807,SANTA LUZIA,15.285.509/0001-03,DROGARIA E PERFUMARIA FRANKLIN ALVIM LTDA, BRASILIA 2410 LOJA: 01 TERREO;,SAO BENEDITO,07/10/2013
MG,3157807,SANTA LUZIA,15.492.129/0001-31,DROGARIA E PERFUMARIA SILVA BARROS LTDA," AV. ADAIR DE SOUZA, 71  ",BELO VALE ,14/12/2012
MG,3157807,SANTA LUZIA,15.507.665/0001-63,ANTONIO MARCOS DA CRUZ RIBEIRO, LEOPOLDO GOMES 1221 LOJA  A,VERA CRUZ,13/05/2015
MG,3157807,SANTA LUZIA,16.808.703/0001-80,DMG DROGARIA LTDA, Comercial BERNARDO GUIMARAES 270 loja A  ,LONDRINA (SAO BENEDITO),17/12/2013
